#  BAND   46          
#EF=   0.00000     NDOS= 5     NENRG=  592    Gaussian bradening: 0.00300
# ENERGY    2:DZ2          2:DXY          2:DX2Y2        2:DXZ+DYZ      2:DXZ+DYZ   
  -9.29051    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -9.26330    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -9.23609    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -9.20888    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -9.18167    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -9.15446    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -9.12725    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -9.10003    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -9.07282    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -9.04561    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -9.01840    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -8.99119    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -8.96398    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -8.93677    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -8.90955    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -8.88234    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -8.85513    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -8.82792    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -8.80071    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -8.77350    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -8.74629    0.00000195    0.00000000    0.00000000    0.00000000    0.00000000
  -8.71908    0.00001188    0.00000000    0.00000001    0.00000000    0.00000000
  -8.69186    0.00004519    0.00000000    0.00000003    0.00000000    0.00000000
  -8.66465    0.00013349    0.00000000    0.00000012    0.00000000    0.00000000
  -8.63744    0.00032035    0.00000000    0.00000038    0.00000001    0.00000001
  -8.61023    0.00063976    0.00000001    0.00000101    0.00000003    0.00000003
  -8.58302    0.00108911    0.00000004    0.00000232    0.00000008    0.00000008
  -8.55581    0.00162301    0.00000009    0.00000471    0.00000018    0.00000018
  -8.52859    0.00217922    0.00000019    0.00000861    0.00000035    0.00000035
  -8.50138    0.00271148    0.00000036    0.00001443    0.00000062    0.00000062
  -8.47417    0.00320198    0.00000061    0.00002261    0.00000102    0.00000102
  -8.44696    0.00365445    0.00000096    0.00003370    0.00000156    0.00000156
  -8.41975    0.00408313    0.00000143    0.00004835    0.00000225    0.00000225
  -8.39254    0.00450326    0.00000201    0.00006710    0.00000312    0.00000312
  -8.36533    0.00492547    0.00000273    0.00009030    0.00000417    0.00000417
  -8.33812    0.00535298    0.00000359    0.00011818    0.00000543    0.00000543
  -8.31090    0.00578442    0.00000460    0.00015121    0.00000689    0.00000689
  -8.28369    0.00622030    0.00000577    0.00019034    0.00000858    0.00000858
  -8.25648    0.00666522    0.00000710    0.00023690    0.00001050    0.00001050
  -8.22927    0.00712610    0.00000863    0.00029222    0.00001269    0.00001269
  -8.20206    0.00760941    0.00001036    0.00035723    0.00001515    0.00001515
  -8.17485    0.00811916    0.00001235    0.00043235    0.00001790    0.00001790
  -8.14764    0.00865683    0.00001460    0.00051788    0.00002097    0.00002097
  -8.12042    0.00922323    0.00001716    0.00061453    0.00002438    0.00002438
  -8.09321    0.00982149    0.00002002    0.00072392    0.00002812    0.00002812
  -8.06600    0.01045892    0.00002323    0.00084853    0.00003222    0.00003222
  -8.03879    0.01114770    0.00002683    0.00099113    0.00003670    0.00003670
  -8.01158    0.01190500    0.00003086    0.00115418    0.00004158    0.00004158
  -7.98437    0.01275600    0.00003539    0.00133970    0.00004688    0.00004688
  -7.95716    0.01373174    0.00004050    0.00154947    0.00005264    0.00005264
  -7.92994    0.01487043    0.00004625    0.00178561    0.00005887    0.00005887
  -7.90273    0.01619013    0.00005275    0.00205105    0.00006558    0.00006558
  -7.87552    0.01764662    0.00006009    0.00235001    0.00007277    0.00007277
  -7.84831    0.01910879    0.00006842    0.00268791    0.00008043    0.00008043
  -7.82110    0.02039799    0.00007787    0.00307076    0.00008858    0.00008858
  -7.79389    0.02138413    0.00008857    0.00350443    0.00009721    0.00009721
  -7.76668    0.02205393    0.00010065    0.00399436    0.00010636    0.00010636
  -7.73946    0.02249280    0.00011424    0.00454599    0.00011603    0.00011603
  -7.71225    0.02281356    0.00012952    0.00516554    0.00012625    0.00012625
  -7.68504    0.02309981    0.00014670    0.00586103    0.00013705    0.00013705
  -7.65783    0.02339139    0.00016605    0.00664290    0.00014847    0.00014847
  -7.63062    0.02369849    0.00018788    0.00752387    0.00016057    0.00016057
  -7.60341    0.02402432    0.00021312    0.00851762    0.00017340    0.00017340
  -7.57620    0.02437104    0.00024762    0.00963701    0.00018702    0.00018702
  -7.54899    0.02474439    0.00030660    0.01089426    0.00020150    0.00020150
  -7.52177    0.02514693    0.00042574    0.01230288    0.00021689    0.00021689
  -7.49456    0.02557833    0.00066944    0.01388236    0.00023327    0.00023327
  -7.46735    0.02604122    0.00111318    0.01566324    0.00025076    0.00025076
  -7.44014    0.02654390    0.00179824    0.01768909    0.00026949    0.00026949
  -7.41293    0.02709902    0.00269126    0.02001265    0.00028967    0.00028967
  -7.38572    0.02771834    0.00369473    0.02268738    0.00031149    0.00031149
  -7.35851    0.02840950    0.00470614    0.02576454    0.00033518    0.00033518
  -7.33129    0.02917670    0.00566680    0.02929923    0.00036097    0.00036097
  -7.30408    0.03002633    0.00656452    0.03337354    0.00038906    0.00038906
  -7.27687    0.03097666    0.00741213    0.03813045    0.00041971    0.00041971
  -7.24966    0.03206604    0.00823143    0.04380740    0.00045321    0.00045321
  -7.22245    0.03335856    0.00904497    0.05077906    0.00048992    0.00048992
  -7.19524    0.03493217    0.00987252    0.05952435    0.00053023    0.00053023
  -7.16803    0.03688596    0.01072760    0.07069810    0.00057454    0.00057454
  -7.14081    0.03933658    0.01161908    0.08508307    0.00062319    0.00062319
  -7.11360    0.04235724    0.01255629    0.10313401    0.00067644    0.00067644
  -7.08639    0.04585014    0.01355147    0.12416793    0.00073451    0.00073451
  -7.05918    0.04945156    0.01462453    0.14589332    0.00079789    0.00079789
  -7.03197    0.05253994    0.01581433    0.16470337    0.00086817    0.00086817
  -7.00476    0.05442341    0.01720953    0.17684296    0.00095023    0.00095023
  -6.97755    0.05459267    0.01893259    0.17978929    0.00105112    0.00105112
  -6.95033    0.05302870    0.02117088    0.17339239    0.00118145    0.00118145
  -6.92312    0.05023955    0.02405215    0.16020824    0.00134805    0.00134805
  -6.89591    0.04689367    0.02740944    0.14428309    0.00154010    0.00154010
  -6.86870    0.04330239    0.03060841    0.12901729    0.00171829    0.00171829
  -6.84149    0.03930131    0.03275314    0.11574830    0.00182592    0.00182592
  -6.81428    0.03465859    0.03326733    0.10392577    0.00182321    0.00182321
  -6.78707    0.02950988    0.03233527    0.09238436    0.00171590    0.00171590
  -6.75985    0.02433847    0.03075257    0.08050235    0.00154967    0.00154967
  -6.73264    0.01965245    0.02939716    0.06861920    0.00138180    0.00138180
  -6.70543    0.01575365    0.02883219    0.05771646    0.00125967    0.00125967
  -6.67822    0.01272565    0.02923574    0.04881081    0.00121695    0.00121695
  -6.65101    0.01048321    0.03052410    0.04235043    0.00127909    0.00127909
  -6.62380    0.00886391    0.03253684    0.03815563    0.00147479    0.00147479
  -6.59659    0.00767315    0.03512169    0.03573184    0.00186875    0.00186875
  -6.56937    0.00676199    0.03823450    0.03458696    0.00261361    0.00261361
  -6.54216    0.00603473    0.04191373    0.03439767    0.00401361    0.00401361
  -6.51495    0.00543148    0.04626912    0.03497328    0.00659025    0.00659025
  -6.48774    0.00491753    0.05145386    0.03622460    0.01093876    0.01093876
  -6.46053    0.00447147    0.05757005    0.03811499    0.01730382    0.01730382
  -6.43332    0.00407844    0.06453326    0.04064031    0.02514794    0.02514794
  -6.40611    0.00372755    0.07205331    0.04383498    0.03323398    0.03323399
  -6.37889    0.00341156    0.07983427    0.04781239    0.04033959    0.04033959
  -6.35168    0.00312618    0.08783062    0.05279981    0.04597946    0.04597946
  -6.32447    0.00286957    0.09626188    0.05918869    0.05046858    0.05046858
  -6.29726    0.00264086    0.10508779    0.06816274    0.05431506    0.05431506
  -6.27005    0.00243757    0.11342070    0.08189492    0.05761407    0.05761406
  -6.24284    0.00225323    0.11949959    0.10577723    0.05991965    0.05991965
  -6.21563    0.00207760    0.12156945    0.15012585    0.06064995    0.06064995
  -6.18842    0.00190175    0.11908382    0.22884901    0.05963067    0.05963067
  -6.16120    0.00172416    0.11307548    0.35182628    0.05728191    0.05728191
  -6.13399    0.00155449    0.10539404    0.51212859    0.05436129    0.05436129
  -6.10678    0.00141199    0.09763332    0.67968398    0.05154488    0.05154488
  -6.07957    0.00131797    0.09067202    0.81027198    0.04921953    0.04921953
  -6.05236    0.00128588    0.08486215    0.86786723    0.04753674    0.04753674
  -6.02515    0.00131578    0.08033862    0.84460932    0.04656066    0.04656066
  -5.99794    0.00139824    0.07711782    0.76259780    0.04637126    0.04637126
  -5.97072    0.00151959    0.07503755    0.65718931    0.04703368    0.04703368
  -5.94351    0.00166125    0.07383685    0.55683470    0.04850745    0.04850745
  -5.91630    0.00179660    0.07324132    0.47466967    0.05053250    0.05053250
  -5.88909    0.00189336    0.07299471    0.41045132    0.05255816    0.05255816
  -5.86188    0.00192421    0.07275371    0.35731143    0.05381794    0.05381794
  -5.83467    0.00187689    0.07201380    0.30705377    0.05357760    0.05357760
  -5.80746    0.00175956    0.07026401    0.25430712    0.05150608    0.05150608
  -5.78024    0.00160119    0.06736663    0.19965333    0.04793521    0.04793521
  -5.75303    0.00144373    0.06380224    0.14835119    0.04371609    0.04371609
  -5.72582    0.00132582    0.06044696    0.10617259    0.03971698    0.03971698
  -5.69861    0.00126889    0.05806445    0.07556137    0.03640084    0.03640084
  -5.67140    0.00127638    0.05696643    0.05534416    0.03379563    0.03379563
  -5.64419    0.00134205    0.05705550    0.04277094    0.03173180    0.03173180
  -5.61698    0.00145791    0.05805216    0.03525263    0.03008843    0.03008843
  -5.58976    0.00161852    0.05966451    0.03098385    0.02888414    0.02888414
  -5.56255    0.00182390    0.06165649    0.02872522    0.02826624    0.02826624
  -5.53534    0.00208218    0.06387560    0.02768083    0.02848835    0.02848835
  -5.50813    0.00240448    0.06622449    0.02733081    0.02980823    0.02980823
